problem,addition,subtraction,multiplication,division
Nancy collects 2 erasers and Nancy's father gives Nancy 7 more. How many erasers does Nancy have?,1,0,0,0
"Sara has 9 eggs and Carolyn has 2. If Carolyn gives all of her eggs to Sara, how many eggs will Sara have?",1,0,0,0
There are 7 blocks and 8 more are added. How many are there total?,1,0,0,0
"Annie has 9 bottle caps and Terry has 99. If Terry gives all of his bottle caps to Annie, how many bottle caps will Annie have?",1,0,0,0
There are 8 erasers and 5 more are added. How many are there total?,1,0,0,0
"If there are 4 crayons in a box and Albert puts 9 more crayons inside, how many crayons are in the box?",1,0,0,0
Roger has 4 erasers and Deborah has 2. How many erasers do they both have?,1,0,0,0
There are 3 bottle caps and 22 are added. How many are there total?,1,0,0,0
"If there are 43 bananas in a box and Catherine puts 4 inside, how many bananas are in the box?",1,0,0,0
Lori has 96 erasers and she gets 6 more from Jean. How many erasers does Lori have in all?,1,0,0,0
Christine has 9 peanuts and Sandra gives her 20 more. How many peanuts does Christine have in all?,1,0,0,0
Benny picked 39 lemons and Dan picked 46. Mike picked 36 lemons and 29 pears at the farm. How many lemons were picked in total?,1,0,0,0
There are 28 scissors in the drawer and 36 on the desk. Jason placed 32 scissors and 15 crayons on the desk. How many scissors are now there?,1,0,0,0
A restaurant served 7 pies during lunch and 6 during dinner today. The restaurant served 9 pies yesterday. How many pies were served in all?,1,0,0,0
I have 34 pears. I buy 11 more. How many pears do I have now?,1,0,0,0
Jack has 22 buckets. Jill has 14. What is the sum?,1,0,0,0
Martha has 45 marbles in one hand and 56 in the other hand. How many marbles does Martha have altogether?,1,0,0,0
There are 34 children in one class and 36 in another. How many children are there in total?,1,0,0,0
"Mrs Green did 5,632 steps on Wednesday and 7,346 on Thursday. How many steps did she take altogether in those two days?",1,0,0,0
"On Earth Day, Jim planted 4 saplings, Sal planted 5 saplings and Tina planted 7. How many saplings did they plant altogether?",1,0,0,0
"Thomas has 7 cousins. Vivian has 2 cousins. How many cousins do they have in all?
",1,0,0,0
"Meera has lost 3 teeth. Braden has lost 5 teeth. How many teeth have they lost in all?
",1,0,0,0
Jill has 2 stones. Carlos also has 2 stones. How many stones do they have in all?,1,0,0,0
A big dog hides 3 bones and a little dog hides 2. How many bones do they hide in all?,1,0,0,0
"A puppy chewed 3 shoes. Later, he chewed 3 more. How many shoes did the puppy chew in all?",1,0,0,0
Tom plants 7 apple seeds and Hal plants 2. How many apple seeds do they plant in all?,1,0,0,0
"A man plucked 435 mangoes from one tree, 450 from the second tree and 295 from the third tree. Find the total number of mangoes plucked from the trees.",1,0,0,0
There are 1030 books in the library. We bought 67 more for the library. How many books are there in the library now?,1,0,0,0
Margret sold 1392 meatballs on Friday. She sold 1940 more meatballs on Saturday than on Friday. How many meatballs did she sell on Saturday?,1,0,0,0
"If Andy was able to pick up 34 wrappers around the village dumpster and his best friend Max was able to collect 15, how many wrappers were gathered in total?",1,0,0,0
She sold 34 cookies on her first round and 27 on her second round. How many cookies were sold by Lucy?,1,0,0,0
"If they sold 23 packs on one village and 28 on the other, how many cookies were they able to sell in the other villages?",1,0,0,0
Lucy sold 19 packs and Robyn sold 16. Write an equation showing how many packs they sold on their last day.,1,0,0,0
"If Hazel caught 24 trout and her dad caught 27, how many trout did they catch in total?",1,0,0,0
"On his ride home, he counted 36 students sitting on the left side of the bus and 27 sitting on the right. Write an equation which shows how many students are on the bus ride home.",1,0,0,0
Rachel climbed 567 flights of stairs going up and 325 going down at the Eiffle Tower. What is the total number of flights that she took?,1,0,0,0
Dan's tech company fixed 134 computers on Monday and then 241 on Tuesday. How many computers did they fix in all?,1,0,0,0
"Brett went to buy food and spent $5 on ice cream and $2 on a sandwich. Then, he paid $300 on his mortgage. How much money did he spend in all? ",1,0,0,0
"Devon has 4 red bears, 5 green horses, and 5 yellow bunnies. How many stuffed animals does she have in all?",1,0,0,0
"Marcy's class collected 4 green bean cans at the grocery store, 5 pasta cans at the movie theater, and 5 corn cans at the shopping mall. How many cans of food did marcy's class collect in all?",1,0,0,0
"Chase bought donuts for a class breakfast party. He bought 4 brown donuts, 5 white donuts, and 5 red donuts. How many donuts did Chase buy in all?",1,0,0,0
"A local bakery sold 5 black cookies, 5 lemon cookies, and 4 sugar cookies. How many cookies did the bakery sell in all?",1,0,0,0
"Lena bought a bag of lollipops and sorted them by flavor. She had 5 red lollipops, 50 pink lollipops, 3 purplel lollipops, and 9 blue lollipops. How many total lollipops were in the bag? ",1,0,0,0
Philip played a trivia game and earned $2 answering some questions. He earned $5 answering science questions and $9 points answering sports questions. How much did Philip get?,1,0,0,0
"On Mondy morning, Gabe drove 5 kilometers to the post office. Next, he drove 5 kilometers to the dentist's office and another 13 kilometers to the grocery store. How many kilometers did Gabe drive in all?",1,0,0,0
"The store had 5 fleece blankets, 5 quilted blankets, and 3 wool blankets. How many blankets did the store have in all?",1,0,0,0
"A children's clothing store received 5 orange shirts, 1 yellow shirt, and  5 blue shirts. How many shirts did the store receive in all?",1,0,0,0
"Pete and his sister made $3 selling lemonade, $10 selling brownies, and $19 with tips from a bake sale. How much money did Pete and his sister make thanks to the bake sale?",1,0,0,0
Tara made $12 babysitting and $50 selling her old clothes. How much money did she make?,1,0,0,0
"Cooper and his friends ate 2 buckets of popcorn, 5 ice cream bars, and 5 boxes of chocolates. How many snacks did they eat in all?",1,0,0,0
"Yesterday, Amy sold 5 sweaters for $500, 2 t-shirts for $30, and 10 skirts for $200. How much money did she make in all?",1,0,0,0
"At Jake's school, there are 5 new students in the Spanish class, 4 new students in the Chinese class, and 5 new students in the French class. How many new students are there total in all the language classes?",1,0,0,0
"Steve collected $8 from his piggy bank and $20 from his father's change jar. The next day, Steve got $2 from a neighbor and found $10 on the street. What is the total number of money that Steve collected?",1,0,0,0
"Ellen went to the bookstore, where she bought a mystery novel for $5, a science fiction book for $1, and a book of short stories for $5. How much money did Ellen spend at the bookstore?",1,0,0,0
"Gabe bought 2 gumdrops for $3, 5 chocolate bars for $20, and 8 caramels for $4. How much did Gabe spend at the candy store?",1,0,0,0
"Cameron bought 8 apple pies for a party. His sister, Sarah, brought 3 pumpkin pies. How many pies are at the party?",1,0,0,0
"At the party, 8 apple pies were not eaten while 3 pumpkin pies were not eaten. How many pies were not eaten?",1,0,0,0
Timothy put $18 into his piggy bank. Harold put $12 into the same piggy bank. How much money is in the piggy bank?,1,0,0,0
Sammy gave Tara 9 cucumbers. Pablo gave Tara 3 zucchinis. How many vegetables were given to Tara?,1,0,0,0
Patty earned 80 points on her chemistry test but Laura earned 17 points more. How many points did Laura get?,1,0,0,0
"Bryce bought 4 plain bagels, 5 onion bagels, and 5 cinnamon-raisin bagels for a PTA meeting. How many bagels did Bryce buy in all? ",1,0,0,0
"There are 19 orange blankets, 2 black blankets, and 2 green blankets. How many blankets are there?",1,0,0,0
"To fill an order, the factory dyed 2,085 meters of silk green and 556 meters indigo. How many meters of silk did it dye for that order?",1,0,0,0
There are 64 part-time employees and 2622 full-time employees at a multi-national corporation. How many employees work for the corporation?,1,0,0,0
"Lexington had 4,137 people before it became a stop on the railroad. Now, there are 816 more people living there. How many people live in Lexington now?",1,0,0,0
A scientist believes that there are 2493 blue parakeets and 7 indigo parakeets in a particular part of the rainforest. What is the total parakeet population there?,1,0,0,0
"Since he was hired, a chef has served 2470 adults and 76 children. He has made $500 so far. What is the total number of guests served?",1,0,0,0
"Mr. Chandler finds a diamond in Paris and buys it for $9,398. Then, he flies to Toronto and purchases a bigger diamond for the bargain price of $562. How much does Mr. Chandler spend on the two diamonds?",1,0,0,0
"An office manager just got back from vacation, so she has a pile of 2,239 letters to read. Then, the mail carrier comes and delivers 9 more letters for her. How many letters does the office manager have now?",1,0,0,0
"A coffee shop franchise estimated that customers would eat 2,408 brown pastries in a month, but ordered 305 more to make sure it wouldn't run out. How many pastries did the franchise order?",1,0,0,0
Sam sees 25 bugs under a log. Joe sees 37 bugs under another log. How many bugs did they see in all?,1,0,0,0
There are 28 frogs in one pond and 25 in another pond. How many frogs are in the two ponds altogether?,1,0,0,0
There are 45 dogs walking in the park and 37 more decide to come. How many dogs are there in total?,1,0,0,0
Captain buys 29 oranges on Monday and 16 more oranges on Tuesday. How many oranges did he buy in all?,1,0,0,0
There are 67 sandcastles on a beach but Sally makes 13 more. How many sandcastles are there now?,1,0,0,0
Joan grew 33 turnips and 19 watermelons. Benny grew 47 turnips. How many turnips did they grow in total?,1,0,0,0
There were 3 children on a bus. 4 more children got on the bus at the next stop. 7 more children got on the bus at the last stop. How many children were on the bus altogether?,1,0,0,0
A 2nd grade class visits the pumpkin patch and 12 of the students buy orange pumpkins. The other 8 students buy green pumpkins. How many students buy pumpkins?,1,0,0,0
Bryce has 50 balls. Felix gives him 6 more. How many balls does Bryce have now?,1,0,0,0
"Hayley works for a moving company and had to move 477 kilograms of her customer's belongings in small boxes and 780 kilograms in large boxes. In total, about how many kilograms did Hayley pack in the boxes?",1,0,0,0
"A large company is hosting a conference. So far, 412 people from the United States have signed up, as well as 669 people from other countries. What is the total number of people who have signed up?",1,0,0,0
"695 zebra mussels ride into Lake Michigan on the bottom of a ship. They find lots of food and no predators, so their population grows. A year later, there are 629 more zebra mussels in the lake. About how many zebra mussels are there now?",1,0,0,0
"Beth's car broke and she used $362 from her savings to have it repaired. After that, she had $512 left in savings. About how much money did Beth have saved before her car broke?",1,0,0,0
A muffin factory has 821 muffins currently being mixed and baked. Another 798 muffins are already done. About how many muffins is that in all?,1,0,0,0
"A chocolate factory usually makes 485 chocolates per month. In the month before Valentine's day, it makes 819 more than that. About how many chocolates does the factory produce in that month?",1,0,0,0
"Jim just transferred $673 out of his bank account. As a result, the account now has $790 left in it. About how much money was in the account before the transfer?",1,0,0,0
A famous singer has a fan club with members all around the world. Among its members are 972 men and 635 women. About how many members does the fan club have?,1,0,0,0
"An ice cream shop offers sundaes with whipped cream and hot fudge as toppings. Recently, the shop used 407 spoonfuls of whipped cream and 981 spoonfuls of hot fudge. About how many spoonfuls of toppings were used?",1,0,0,0
"After a fire, there were only 16,278 trees left in the forest. But the fire didn't just destroy trees. It also caused the seeds in some pine cones to sprout. One year later, there are 54,194 baby trees, or saplings growing. How many trees total are there?",1,0,0,0
"There is a snail problem in Stafford. People worked together and got rid of 59,849 snails, but 13,545 of them remain. How many snails were originally in Stafford?",1,0,0,0
"Since the company started, Nature's Best Water has sold 12,896 gallons of plain bottled water and 36,647 gallons of sparkling bottled water. How many total gallons of water has the company sold?",1,0,0,0
"Exactly a year ago, the volume of Oakland Lake was 38,332 liters. Right now, its volume is 46,451 liters greater. How many liters of water does the lake currently hold?",1,0,0,0
"A poultry company owned 7,638 egg-laying chickens. To produce more eggs, it bought 9,491 more chickens. How many chickens are there now?",1,0,0,0
"A carnival makes most of its money from the horse race game and the plate break game. Last year, it pulled in $47,827 from the horse race game and $29,397 from the plate break game. In all, how much did those two games make?",1,0,0,0
"Some insects called aphids attack a large farm. In response, the farmer releases ladybugs onto the fields. There are 3,401 ladybugs with spots and 9,977 ladybugs without spots. How many ladybugs are there in all?",1,0,0,0
"Last year, Jefferson Publishing sold 15,227 printed books. It also sold 53,703 electronic books. How many books did the publisher sell in all?",1,0,0,0
"At a busy ant colony, there are 50,964 ants inside the ant hill and 18,751 exploring outside. How many ants total are there?",1,0,0,0
"After a natural disaster, a clothing company wanted to help. The company donated 4,838 shirts and 6,925 pairs of pants. How many pieces of clothing did the company donate?",1,0,0,0
"So far, an orchard has sold a total of 7,657 pounds of fresh fruit and 7,229 pounds of frozen fruit this season. In total, how many pounds of fruit have been sold?",1,0,0,0
"In June, a hot dog company sold 72,820 hot dogs in the United States and 15,401 hot dogs in other countries. How many hot dogs in all did the company sell during that month?",1,0,0,0
"Last year, a publishing house shipped 55,740 copies of new books as well as 20,663 copies of old books. How many books in all did the publishing house ship?",1,0,0,0
"A marine biologist is studying a white whale and a blue whale. She observed the white whale eat 6,314 kilograms of plankton and the blue whale eat 5,148 kilograms of krill. How many kilograms of food did the two whales eat?",1,0,0,0
"There were 15,100 residents in Wildgrove when developers started building a strip mall and business park. Now, Wildgrove has grown by 21,085 residents. How many residents now live in the city?",1,0,0,0
"A worker at a medical lab is studying blood samples. The first sample contained 56,774 blood cells. The second one contained 24,483 more than the first. How many blood cells were in the second sample?",1,0,0,0
"Mr. Harmon sells gems. He finds a diamond in London and buys it for $9,226. Then, he flies to Tokyo and purchases a bigger diamond for the bargain price of $4,424. How much does Mr. Harmon spend on the two diamonds?",1,0,0,0
"Last week, Hunter and Fernando went on a road trip. Hunter drove 2,635 miles and Fernando drove 1,325 miles. In total, how many miles did they travel?",1,0,0,0
"In the winter, Mr. Mueller's bee hives had 2,481 worker bees. Now that spring has come, the number of worker bees has grown by 9,378. How many worker bees does he have now?",1,0,0,0
"Yesterday, a shipping company delivered 17,148 letters and 65,011 packages. How many items did the company deliver in all?",1,0,0,0
Helen made 435 chocolate chip cookies the night before and 139 this morning. What is the number of cookies Helen baked?,1,0,0,0
"Danny the Duck bought 73 apples and 14 bananas, whereas Pinky the Pig bought 36 apples. What is the total number of apples they have?",1,0,0,0
"In a large brown bag, Dylan the Dog prepared 241 hotdog sticks. In the same brown bag, his father inserted 426 additional hotdog sticks. What was the total number of hotdog sticks Dylan and his father put in the brown bag?",1,0,0,0
Helen's mother arrived with a total of 101 hotdogs. Dylan's mother arrived a few hours later with 379 hotdogs and 600 buns. How many hotdogs are there in total?,1,0,0,0
"Helen produced 56 little pumpkin pies, while Pinky made 147. In total, how many little pies do they have?",1,0,0,0
"The woodshop has 15 planks of wood to begin with. Charlie is able to collect an additional 10 planks, and his father is able to collect another 7. How many wooden planks will there be altogether?",1,0,0,0
"A large box holds 51 nails, while a small box holds 28 nails. In each of the 2 boxes, how many nails are there?",1,0,0,0
"Tommy is constructing a pen out of rope and wood. For the first post, he used 24 inches of rope, 20 inches for the second, 14 inches for the third, and 12 inches for the fourth. He also had 15 feet of cable, which he never used. What was the length of rope used?",1,0,0,0
"To renovate the shed, the designer estimates that 20 ounces of white paint, 15 ounces of green paint, and 34 ounces of brown paint will be required. In total, how many ounces of paint should they purchase?",1,0,0,0
"How many cookies were consumed in total if Charlie ate 15 cookies, his father ate 10 cookies, and his mother only ate 5 cookies?",1,0,0,0
"Bob has a total of 10 candies. Mary has a total of 5. Sue has 20. John has 5, whereas Sam has 10. What was the total number of candies they had?",1,0,0,0
Sam has 10 chewing gums and Mary has 5 chewing gums and 3 chocolate bars. How many chewing gums did the three of them have in total if Sue has 15 chewing gums?,1,0,0,0
"She received 10 chewing gums, 15 chocolate bars, and 20 different fruit candies as part of her prize package. What was the total number of sweets she received?",1,0,0,0
"He took 15 chewing gums, 20 chocolate bars, and 15 varied sweets as his share of candy. What was the total number of candies he received?",1,0,0,0
"55 eggs were hidden around the clubhouse, 33 eggs in the village park, and 22 eggs in the town hall garden by the parents. In total, how many eggs were hidden?",1,0,0,0
"Joe found 12 eggs around the club house, 5 eggs in the park, and 3 eggs in the town hall garden during the Easter egg hunt. When he was seeking for eggs, he also discovered 2 quarters! Joe found how many eggs?",1,0,0,0
"During the Easter Egg Hunt, the twins Ellie and Amy were able to find 10 eggs surrounding the clubhouse, 4 eggs in the town hall garden, and 6 additional eggs throughout the park. What is the total number of eggs they have?",1,0,0,0
"The rest of the youngsters in town got 13 more eggs around the clubhouse, 9 eggs in the park, and 8 eggs in the town hall garden during the Easter search. How many eggs would there be if we added all of the eggs they found?",1,0,0,0
"Write an equation to illustrate how many Easter eggs were found that day if all of the participants found a total of 40 eggs from the club house, 25 eggs from the park, and 15 eggs from the town hall.",1,0,0,0
"3 species of eagles are on display in the aviary that day. There are 20 bald eagles, 15 harpy eagles, and 30 crowned eagles on the property. On that particular day, how many eagles are on display?",1,0,0,0
"At the zoo, Penny found 55 tree frogs, 10 poison frogs, and 13 wood frogs. Penny was able to count how many frogs.",1,0,0,0
"Penny's teacher pointed out 22 crocodiles, 23 alligators, and 5 vipers at the zoo. What was the total number of deadly animals mentioned by Penny's teacher?",1,0,0,0
"Penny, who enjoys butterflies and ants, photographed almost 100 different species. She was able to capture 60 different butterfly species, 15 different ant species, and 20 different bug species. Penny caught how many different insect species?",1,0,0,0
"Penny discovered 35 distinct shark species, 15 different eel species, and 5 different whale species. Penny was able to recognize how many different species?",1,0,0,0
How many milk bottles do they have available for recycling if Marcus was able to collect 25 milk bottles and John was able to collect 20 milk bottles?,1,0,0,0
"Chris, who was in charge of collecting newspapers, was able to collect 42 newspapers and 10 magazines from their neighborhood. How many newspapers were they able to collect together if his sister Lily assisted him and was able to grab 23 more newspapers from another block?",1,0,0,0
How many wrappers were collected in total if Andy was able to collect 34 wrappers around the village dumpster and his best friend Max was able to collect 15?,1,0,0,0
Write an equation to demonstrate how many recycled items they will be able to sell at the fair if the group was able to manufacture 65 recycled material goods and the teachers were able to manufacture 28.,1,0,0,0
Robyn sold 47 packs of cookies while Lucy sold 29 during her shift. How many cookie packs did they manage to sell that day?,1,0,0,0
"In her first round, Lucy sold 34 cookies, and on her second round, she sold 27. How many cookies did Lucy sell?",1,0,0,0
"Robyn went to over a hundred homes to sell cookies. Robyn sold 55 packs of cookies that day, while Lucy sold 43. How many packs did they manage to sell on that particular day?",1,0,0,0
How many boxes were Robyn and Lucy able to sell if they sold 23 boxes in one village and 28 in the other?,1,0,0,0
Robyn sold 16 and Lucy sold 19 packs of cookies. Write an equation to indicate how many packets they sold on their final day.,1,0,0,0
"Mayor Fauna, the town's leader, provided 27 oak tree seedlings and 16 holly seedlings. What was the total number of seedlings he donated?",1,0,0,0
"A businessman, Mr. Fortree, also donated seedlings for the tree-planting operation. How many seedlings did he provide in total if he gave 14 cedar seedlings and 38 pine seedlings?",1,0,0,0
"Flora Middle School students were asked to participate in the event. In the forest near their school, they planted 47 apple trees and 27 orange trees. How many trees did the students plant in total?",1,0,0,0
The rangers replaced the trees that were damaged in a recent forest fire by planting 75 redwood trees and 25 cypress trees. What was the total number of trees planted by the rangers?,1,0,0,0
"The students planted 15 different tree species in the natural park, 20 different tree species in the nearby forest, and 10 different tree species across town. Write an equation to indicate how many different types of trees the kids planted.",1,0,0,0
How many trout did Hazel and her father catch in total if Hazel caught 24 and her father caught 27?,1,0,0,0
"Hazel caught 48 different fish in a competition, while her father caught 46. What was the total number of fish they caught?",1,0,0,0
"Sam caught 30 pikes, 40 sturgeons, and 75 herrings on their fishing trip. What was the total number of fish Sam caught?",1,0,0,0
"Cameron and Anna hiked around Lake Superior for 12 miles. They caught 15 catfish, 20 sturgeons, 25 pikes, and 10 eels. What was the total number of fish taken in Lake Superior?",1,0,0,0
"How many fish will Tamara bring home if she takes 23 from Lake Ontario and Erie, 30 from Lake Huron and Michigan, and 44 from Lake Superior?",1,0,0,0
"At the first stop, a total of 39 pupils boarded the bus. How many kids are on the bus if 29 more kids boarded at the second stop?",1,0,0,0
"On his first day of fourth grade, Buddy met 57 female classmates and 66 male kids. What was the total number of pupils Buddy met?",1,0,0,0
"How many pupils did Budy meet in total during recess if he met 14 second grade students, 10 fourth grade kids, and 16 fifth grade kids?",1,0,0,0
All of the kids were separated into two groups in the gym. How many students are in the gym class if one group has 34 members and the other has 37?,1,0,0,0
Margaret counted 36 pupils on the left side of the bus and 27 on the right side of the bus on his way home. Write an equation to illustrate how many pupils will be riding the bus home.,1,0,0,0
"At the Eiffel Tower, Rachel climbed 567 flights of stairs up and 325 flights of stairs down. How many steps did she take all together?",1,0,0,0
What is the total distance traveled by the caravan if they traveled 451 miles by land and 150 miles by sea across the English Channel in 23 hours?,1,0,0,0
How much food did she eat in grams if she ate 276 grams of bacon and 147 grams of sausages?,1,0,0,0
Rachel discovered that 583 people visited the Empire State Building on that particular day. How many people visited the building in two days if there were 246 visitors the day before?,1,0,0,0
"Rachel consumed 598 grams of pizza during her visit, while her sister consumed 354. They also drank 400 milliliters of water apiece. How much pizza did Rachel and Bella consume in Naples?",1,0,0,0
The Christmas celebration drew almost 300 children. How many presents did Santa deliver in total if he delivered 134 vehicles to the males and 269 dolls to the girls?,1,0,0,0
"At the nursing home, Chad distributed 472 vitamin boxes and 288 supplement boxes. How many boxes did Chad deliver to the nursing home?",1,0,0,0
Mr. Anderson distributed 589 shirts and 345 pairs of pants to 700 persons. What was the total number of garments he distributed?,1,0,0,0
How many people did the homeless shelter serve in total if they fed 219 men and 328 women on Monday?,1,0,0,0
How many animals are there in the shelter if there are 645 cats and 567 dogs?,1,0,0,0
How many creatures did the scientists see in total if they saw 318 beavers and 544 spiders on their excursion to the forest?,1,0,0,0
Mike counted 413 red ants and 487 black ants during his trip. Mike saw a total of how many ants?,1,0,0,0
There are 145 stories in the first part of the skyscraper and 255 stories in the second half. What is the height of the building?,1,0,0,0
"David traveled 234 steps from the hotel to the nearest eatery, then 378 steps to Central Park. How many steps did he take from the hotel to Central Park?",1,0,0,0
"To get to street level, he had to take 676 steps and then 315 stairs to Madison Square Garden. What was the total number of steps he took to arrive to Madison Square Gardens?",1,0,0,0
"Dan's next destination is the famed Empire State Building, which has 102 stories! The antenna spire is 204 feet tall and the structure reaches 1,250 feet tall to the top floor. What is the height of the Empire State Building?",1,0,0,0
Johnny viewed 465 pieces of Asian art and 527 pieces of Egyptian art while walking through 50 rooms. What was the total number of works of art he saw?,1,0,0,0
"To get to the Rockefeller Center, Tomas walked 354 steps and then 228 steps to Times Square. What was the total number of steps he took to get to Times Square?",1,0,0,0
How many students participated in the survey if 383 students stated they enjoyed the cafeteria cuisine and 431 students indicated they didn't?,1,0,0,0
How many students voted if 337 voted to add more vegetables to the menu and 335 voted to add more meat?,1,0,0,0
"The homeless shelter received 12 cartons of canned soup and 36 boxes of crackers in the first week. They received 25 boxes of canned soup and 24 boxes of crackers during the second week. In total, how many boxes of crackers did they receive?",1,0,0,0
"Last month, the restaurant bought 47 more boxes of spaghetti sauce. Originally, they only had 30 boxes in storage. How many pasta sauce boxes do they have now?",1,0,0,0
There are 16 boxes of corn flakes in the storage area. There were 19 more cheerio boxes than corn flakes boxes. How many cheerio boxes are there?,1,0,0,0
"In January, the local food bank was open for 18 days and in February, it was open for 21 days. How many days will it be open in these three months if it will be open for 15 days in March?",1,0,0,0
"There are 6 first-class passengers, 11 business-class passengers, and 80 economy-class passengers. How many people are on board the plane?",1,0,0,0
"50 trays of normal meals, 14 trays of vegetarian meals, and 7 trays of children's meals were made by the catering crew. What was the total number of trays of meals prepared?",1,0,0,0
"The catering cart is loaded with 67 cans of soda, 25 cans of juice, and 15 boxes of cookies by the flight attendant. How many beverage cans are there?",1,0,0,0
"On Sunday, the first program begins at 11 a.m. The first cashier sold 28 tickets, whereas the second cashier only sold 13. How many tickets were sold in addition to the 41 sold online?",1,0,0,0
The first popcorn machine has 42 cups of popcorn while the second popcorn machine has 36 cups of popcorn. There are 20 popcorn cups that are empty. Is there a total of how many cups of popcorn?,1,0,0,0
"There are 31 large paper cups, 23 medium paper cups, and 12 little paper cups at the soda machine. What is the total number of paper cups?",1,0,0,0
"Lucy purchased 12 cookie packs and 16 noodle packets. In total, how many grocery packs did she purchase?",1,0,0,0
"Roden purchased 15 goldfish, 7 blue fish, and three fish food containers. What was the total number of fish he purchased?",1,0,0,0
I read 21 pages of my English book in 45 minutes the other day. I read 117 pages today. What's the total amount of pages I've read so far?,1,0,0,0
There are 542 girls and 387 males in a school. How many students attend that school?,1,0,0,0
"Chloe has 128 candies, whereas Linda has 34. What is the total number of candies they have?",1,0,0,0
Jose is the proud owner of 28 chickens and 18 ducks. What is the total number of fowls he has?,1,0,0,0
Gino owns a total of 63 popsicle sticks. There are 50 popsicle sticks in my possession. What is the total number of popsicle sticks we have?,1,0,0,0
"Lino collected 292 shells in the morning and 324 shells in the afternoon at the beach. In addition, he collected 14 pieces of driftwood. In total, how many shells did he collect?",1,0,0,0
There were 105 parents and 698 pupils at a school event. How many people were in attendance at the event?,1,0,0,0
"Marie sold 425 magazines, 275 newspapers, and 14 books on Saturday. How many goods did she sell in total?",1,0,0,0
"On the fence, there are 4 birds. 12 more birds have landed on the barrier. What is the total number of birds on the fence?",1,0,0,0
"In the morning, 22 kids went down the slide. The slide was used by 99 additional boys and 1 girl in the afternoon. That day, how many kids went down the slide?",1,0,0,0
"A lake has 72 ducks swimming in it. They are joined by 55 additional ducks and 38 crows. In the lake, how many ducks are swimming?",1,0,0,0
There are 40 dogs barking. 64 more dogs begin to bark. Then another 100 dogs begin to bark. How many dogs are barking at the same time?,1,0,0,0
Sandy had a total of 126 pet fish. She went out and bought 6 more fish. Sandy now has a total of how many pet fish?,1,0,0,0
The library loaned 54 books to our class. Then we went to the library and borrowed another 23 books. What was the total number of books borrowed from the library by our class?,1,0,0,0
"On Monday, Julia played tag with a group of 12 children. On Tuesday, she played tag with 7 children, and on Wednesday, she played tag with 3 children. How many children did she play with in total?",1,0,0,0
"Before supper, James ate 20 carrot sticks and then another 10 thereafter. He also ate 6 celery sticks. What was the total number of carrot sticks he consumed?",1,0,0,0
"On his way to school, Charles discovered 116 cents. At home, he already has 142 cents. In total, how many cents does he now have?",1,0,0,0
Jovana had 115 pounds of shells in her pail. How much more shell does she need to fill her bucket if she adds 112 pounds?,1,0,0,0
Lilly had 95 pounds of shells in her bucket. How many pounds does she have in total if a friend brings her 17 more pounds of shells?,1,0,0,0
Mrs. Sheridan is the proud owner of 17 cats. Mr. Sheridan added 14 more cats and 2 dogs to her collection. Mrs. Sheridan has a total of how many cats now?,1,0,0,0
Mrs. Sheridan is the proud owner of 22 fish. Her sister gave her 2 more birds and 47 more fish. How many fish does she currently have?,1,0,0,0
Rosa scores 600 points at the end of a game. Tyler wins against Rosa by 200 points. How many points did Tyler earn?,1,0,0,0
"Leah can create 12 greeting cards in an hour. In the same length of time, Steven can manufacture 9 cards. How many cards can they make in an hour if they work together?",1,0,0,0
Ms. Llamas spent $62 on gas and $85 on automobile maintenance last week. How much did she spend on her automobile?,1,0,0,0
"Chan's favorite dinosaur's head and body are 36 feet long, while the tail is 19 feet long. What is the total length of the dinosaur?",1,0,0,0
Kayla has 27 photographs of horses and 12 photographs of bears. How many photographs does she own?,1,0,0,0
The school store sold 39 pencils and 12 folders this week. What was the total number of pencils and folders sold at the school store this week?,1,0,0,0
Javier purchased 18 peaches and his sister purchased 24 apples for a family picnic. How much fruit did they purchase?,1,0,0,0
Alondra's science class planted 31 marigold seeds and 29 zinnia seedlings. How many seeds did they plant all together?,1,0,0,0
Samantha found 75 cents in her piggy bank when she opened it. How much money does she have if she just has 8 cents in her pocket?,1,0,0,0
"Alanzo wants to purchase a basketball for $15 and a T-shirt for $14. In total, how much will he spend?",1,0,0,0
"One box contains 15 cards, while the other has 64 cards. In total, how many cards are there?",1,0,0,0
"Miss Strom's class has 31 students, whereas Miss Wilson's class has 27 students. What is the total number of students in these 2 classes?",1,0,0,0
"Mrs. Johnson's class contributed $47 to the fundraiser, while Mr. King's class contributed $52. What was the total amount of money collected?",1,0,0,0
There are 22 minnows in one aquarium. There are 27 snails in another aquarium. What is the approximate number of pond animals?,1,0,0,0
"The administration has ordered 215 muffins and 155 bagels for a PTA meeting at Parkvale Elementary School. In total, how many muffins and bagels were there?",1,0,0,0
"Lucinda finished reading a 98-page book in February. She finished reading a 124-page book in March. In February and March, how many pages did she read?",1,0,0,0
"Miranda's sunflowers grew 27 inches in the first month and 37 inches in the second. After two months, how tall had Miranda's sunflowers grown?",1,0,0,0
There are 121 maple trees and 382 oak trees in Cliffside Park. What is the total number of trees in the park?,1,0,0,0
Rachel is in the middle of cross-country season. She spent $29.13 on running shorts and $42.93 on running shoes. What was her total?,1,0,0,0
Jake mowed the grass for 305 minutes and did landscaping work for 100 minutes. How long was he working outside?,1,0,0,0
